id,state,party,candidate
752,Indiana,Democrat,Candidate X
753,Nevada,Democrat,Candidate X
754,New Hampshire,Republican,Candidate Y
755,Minnesota,Republican,Candidate Y
756,Louisiana,Republican,Candidate Y
757,Wisconsin,Republican,Candidate Y
758,Utah,Republican,Candidate X
759,Wisconsin,Democrat,Candidate Y
760,Minnesota,Republican,Candidate X
761,West Virginia,Democrat,Candidate Y
762,South  Carolina,Republican,Candidate Y
763,North Dakota,Democrat,Candidate X
764,New Hampshire,Republican,Candidate Y
765,Missouri,Republican,Candidate X
766,Connecticut,Democrat,Candidate Y
767,Alaska,Democrat,Candidate Y
768,New Hampshire,Republican,Candidate X
769,Idaho,Republican,Candidate Y
770,Nebraska,Republican,Candidate X
771,Puerto Rico,Republican,Candidate Y
772,Georgia,Republican,Candidate Y
773,Louisiana,Democrat,Candidate X
774,Oklahoma,Democrat,Candidate X
775,Arizona,Republican,Candidate Y
776,Montana,Republican,Candidate Y
777,Washington,Democrat,Candidate Y
778,Utah,Democrat,Candidate Y
779,Pennsylvania,Republican,Candidate X
780,New Hampshire,Republican,Candidate X
781,South  Carolina,Democrat,Candidate Y
782,Washington,Democrat,Candidate X
783,Indiana,Republican,Candidate Y
784,Kentucky,Republican,Candidate Y
785,Illinois,Democrat,Candidate X
786,Arizona,Republican,Candidate Y
787,Kansas,Democrat,Candidate Y
788,Connecticut,Republican,Candidate X
789,Wyoming,Republican,Candidate Y
790,Vermont,Republican,Candidate X
791,Michigan,Republican,Candidate Y
792,New Hampshire,Republican,Candidate X
793,Hawaii,Democrat,Candidate X
794,Ohio,Democrat,Candidate Y
795,Vermont,Democrat,Candidate X
796,South Dakota,Democrat,Candidate X
797,Pennsylvania,Democrat,Candidate X
798,Alaska,Republican,Candidate X
799,Arizona,Republican,Candidate X
800,Nebraska,Democrat,Candidate Y
801,Massachusetts,Republican,Candidate Y
802,Oregon,Democrat,Candidate Y
803,Illinois,Republican,Candidate Y
804,Hawaii,Democrat,Candidate Y
805,New Jersey,Democrat,Candidate X
806,Rhode Island,Democrat,Candidate X
807,Connecticut,Democrat,Candidate Y
808,Massachusetts,Democrat,Candidate Y
809,Rhode Island,Democrat,Candidate X
810,Oregon,Democrat,Candidate X
811,Tennessee,Republican,Candidate X
812,Mississippi,Republican,Candidate X
813,Illinois,Republican,Candidate X
814,Indiana,Democrat,Candidate X
815,South  Carolina,Republican,Candidate X
816,Puerto Rico,Democrat,Candidate Y
817,Idaho,Republican,Candidate Y
818,Connecticut,Democrat,Candidate Y
819,Arizona,Republican,Candidate Y
820,North Dakota,Republican,Candidate X
821,Minnesota,Democrat,Candidate X
822,North Carolina,Democrat,Candidate Y
823,Virginia,Democrat,Candidate X
824,Virginia,Republican,Candidate Y
825,Missouri,Democrat,Candidate Y
826,Connecticut,Republican,Candidate X
827,Texas,Democrat,Candidate X
828,Missouri,Democrat,Candidate X
829,South  Carolina,Republican,Candidate Y
830,Minnesota,Republican,Candidate X
831,California,Republican,Candidate Y
832,Georgia,Republican,Candidate Y
833,New Hampshire,Democrat,Candidate X
834,Washington,Democrat,Candidate X
835,Wyoming,Democrat,Candidate Y
836,Arkansas,Republican,Candidate X
837,Massachusetts,Republican,Candidate Y
838,Illinois,Democrat,Candidate X
839,Oklahoma,Democrat,Candidate Y
840,Illinois,Republican,Candidate Y
841,Indiana,Republican,Candidate X
842,Iowa,Republican,Candidate Y
843,Illinois,Democrat,Candidate X
844,Indiana,Democrat,Candidate X
845,Colorado,Republican,Candidate Y
846,North Dakota,Republican,Candidate Y
847,Utah,Republican,Candidate X
848,Iowa,Republican,Candidate Y
849,Tennessee,Republican,Candidate X
850,Montana,Republican,Candidate X
851,Louisiana,Republican,Candidate X
852,Tennessee,Republican,Candidate X
853,Pennsylvania,Democrat,Candidate X
854,Connecticut,Democrat,Candidate X
855,South Dakota,Democrat,Candidate Y
856,Illinois,Republican,Candidate Y
857,Illinois,Republican,Candidate Y
858,Arkansas,Democrat,Candidate Y
859,Ohio,Democrat,Candidate Y
860,Missouri,Democrat,Candidate Y
861,Puerto Rico,Republican,Candidate X
862,Puerto Rico,Democrat,Candidate X
863,Vermont,Republican,Candidate X
864,Rhode Island,Democrat,Candidate Y
865,Illinois,Republican,Candidate X
866,Ohio,Republican,Candidate X
867,District of Columbia,Republican,Candidate Y
868,Oklahoma,Republican,Candidate X
869,Massachusetts,Democrat,Candidate Y
870,North Dakota,Democrat,Candidate Y
871,West Virginia,Democrat,Candidate Y
872,Kansas,Republican,Candidate Y
873,Alaska,Republican,Candidate Y
874,New York,Democrat,Candidate Y
875,California,Republican,Candidate X
876,Minnesota,Republican,Candidate Y
877,South  Carolina,Republican,Candidate X
878,New Mexico,Republican,Candidate X
879,Louisiana,Republican,Candidate Y
880,Kansas,Republican,Candidate Y
881,New Hampshire,Republican,Candidate Y
882,MaineMaryland,Democrat,Candidate X
883,North Carolina,Democrat,Candidate X
884,Louisiana,Republican,Candidate X
885,Texas,Democrat,Candidate Y
886,Virginia,Democrat,Candidate X
887,Iowa,Republican,Candidate X
888,Nebraska,Republican,Candidate Y
889,Hawaii,Democrat,Candidate Y
890,Utah,Republican,Candidate Y
891,Missouri,Democrat,Candidate X
892,South  Carolina,Republican,Candidate Y
893,Utah,Democrat,Candidate Y
894,New Hampshire,Democrat,Candidate X
895,New Jersey,Republican,Candidate X
896,Nebraska,Democrat,Candidate X
897,Delaware,Republican,Candidate X
898,Arizona,Democrat,Candidate X
899,Indiana,Republican,Candidate Y
900,Kentucky,Republican,Candidate X
901,Montana,Democrat,Candidate X
902,Pennsylvania,Republican,Candidate Y
903,North Carolina,Republican,Candidate Y
904,District of Columbia,Republican,Candidate X
905,Kentucky,Democrat,Candidate X
906,Florida,Republican,Candidate Y
907,North Carolina,Democrat,Candidate Y
908,Wisconsin,Republican,Candidate X
909,California,Democrat,Candidate Y
910,Hawaii,Republican,Candidate X
911,Texas,Democrat,Candidate X
912,Massachusetts,Republican,Candidate X
913,California,Republican,Candidate Y
914,New Jersey,Democrat,Candidate X
915,Florida,Republican,Candidate Y
916,Rhode Island,Democrat,Candidate X
917,Arkansas,Republican,Candidate Y
918,New Jersey,Democrat,Candidate Y
919,Indiana,Republican,Candidate X
920,Arkansas,Democrat,Candidate Y
921,Indiana,Republican,Candidate Y
922,Illinois,Republican,Candidate Y
923,Washington,Democrat,Candidate X
924,Louisiana,Democrat,Candidate X
925,Mississippi,Democrat,Candidate Y
926,Montana,Republican,Candidate X
927,South  Carolina,Democrat,Candidate X
928,Illinois,Democrat,Candidate X
929,South  Carolina,Republican,Candidate X
930,Kansas,Democrat,Candidate X
931,North Carolina,Republican,Candidate X
932,Mississippi,Democrat,Candidate X
933,Florida,Democrat,Candidate Y
934,Michigan,Democrat,Candidate X
935,Montana,Republican,Candidate X
936,Tennessee,Democrat,Candidate Y
937,Utah,Republican,Candidate Y
938,Kentucky,Democrat,Candidate X
939,Mississippi,Democrat,Candidate X
940,Louisiana,Democrat,Candidate Y
941,Ohio,Democrat,Candidate X
942,South Dakota,Republican,Candidate X
943,Montana,Democrat,Candidate Y
944,Texas,Republican,Candidate X
945,Vermont,Democrat,Candidate Y
946,New Mexico,Democrat,Candidate Y
947,Ohio,Republican,Candidate Y
948,Tennessee,Democrat,Candidate X
949,Nebraska,Republican,Candidate Y
950,Tennessee,Republican,Candidate X
951,Kentucky,Republican,Candidate Y
952,New Mexico,Republican,Candidate Y
953,Alabama,Republican,Candidate Y
954,Kansas,Republican,Candidate Y
955,Michigan,Republican,Candidate Y
956,Nevada,Democrat,Candidate X
957,New York,Republican,Candidate Y
958,Washington,Democrat,Candidate Y
959,Massachusetts,Democrat,Candidate X
960,Rhode Island,Republican,Candidate Y
961,Puerto Rico,Democrat,Candidate Y
962,Oklahoma,Republican,Candidate Y
963,Missouri,Democrat,Candidate X
964,North Dakota,Democrat,Candidate Y
965,Arkansas,Democrat,Candidate X
966,Oklahoma,Republican,Candidate Y
967,Missouri,Republican,Candidate Y
968,Oklahoma,Republican,Candidate X
969,Nebraska,Republican,Candidate X
970,Indiana,Republican,Candidate Y
971,Arkansas,Republican,Candidate X
972,Wisconsin,Democrat,Candidate X
973,Florida,Republican,Candidate X
974,New York,Democrat,Candidate Y
975,Iowa,Republican,Candidate Y
976,Vermont,Republican,Candidate Y
977,West Virginia,Republican,Candidate Y
978,Arkansas,Democrat,Candidate X
979,Connecticut,Republican,Candidate X
980,Arizona,Republican,Candidate Y
981,South Dakota,Republican,Candidate Y
982,Michigan,Democrat,Candidate Y
983,Montana,Republican,Candidate Y
984,Idaho,Democrat,Candidate Y
985,Colorado,Republican,Candidate Y
986,Washington,Republican,Candidate Y
987,New Mexico,Democrat,Candidate Y
988,Connecticut,Republican,Candidate Y
989,Rhode Island,Democrat,Candidate Y
990,South  Carolina,Democrat,Candidate Y
991,Indiana,Democrat,Candidate Y
992,Pennsylvania,Republican,Candidate X
993,Alabama,Democrat,Candidate Y
994,Ohio,Republican,Candidate X
995,Massachusetts,Republican,Candidate Y
996,Iowa,Republican,Candidate X
997,New Mexico,Democrat,Candidate X
998,West Virginia,Republican,Candidate Y
999,Arkansas,Democrat,Candidate X
